"","system","country","origin","status","url","class","Date"
"267","BTR-4","Ukraine","Ukraine","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/W4swJQ4m/ds6.png","Infantry Fighting Vehicles","03/06/2022"
"268","BTR-60","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/mgns2vNk/a1.png","Armoured Personnel Carriers","03/06/2022"
"269","BTR-60","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/brZyFMTj/f4d.png","Armoured Personnel Carriers","03/06/2022"
"270","BTR-60","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/X7fQsQrh/4438.png","Armoured Personnel Carriers","03/06/2022"
"271","BTR-60","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/wv5Mw3LL/Screenshot-8388.png","Armoured Personnel Carriers","03/06/2022"
"272","BTR-70","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/9FS2wLRZ/Screenshot-8016.png","Armoured Personnel Carriers","03/06/2022"
"273","BTR-70","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/hvpjqwCG/Screenshot-8389.png","Armoured Personnel Carriers","03/06/2022"
"274","BTR-70","Ukraine","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/RCWcTD3F/579.png","Armoured Personnel Carriers","03/06/2022"
"275","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/15nsWPhH/67.png","Armoured Personnel Carriers","03/06/2022"
"276","BTR-80","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/vBMkTPJC/j8.jpg","Armoured Personnel Carriers","03/06/2022"
"277","BTR-80","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/MZY8btn5/4f77.png","Armoured Personnel Carriers","03/06/2022"
