"","country","system","abandoned","damaged","captured","destroyed","total","Date"
"177","Ukraine","1 Ural-63501-AT",0,0,0,1,1,"02/28/2024"
"178","Ukraine","1 Uran-6 mine-clearing robotic system",0,0,0,1,1,"02/28/2024"
"179","Ukraine","1 Wisent 1 mine-clearing tank",0,0,0,1,1,"02/28/2024"
"180","Ukraine","1 ZSA-<U+0422> Armoured Ambulance",0,1,0,0,1,"02/28/2024"
"181","Ukraine","1 ZiL-4331",0,0,1,0,1,"02/28/2024"
"182","Ukraine","10 Su-24M/MR strike/tactical reconnaissance aircraft",0,3,0,4,7,"02/28/2024"
"183","Ukraine","10 UAZ-3303",0,1,1,8,10,"02/28/2024"
"184","Ukraine","100 122mm 2S1 Gvozdika",0,16,12,69,97,"02/28/2024"
"185","Ukraine","100mm BS-3 anti-tank gun",0,0,2,1,3,"02/28/2024"
"186","Ukraine","109 UAZ-452 van",2,12,14,84,112,"02/28/2024"
"187","Ukraine","11 AS-4350 medical vehicle",0,0,3,8,11,"02/28/2024"
"188","Ukraine","11 FMTV M1083A1P2",1,1,0,9,11,"02/28/2024"
"189","Ukraine","11 MP-1IM signals vehicle",0,0,3,8,11,"02/28/2024"
"190","Ukraine","11 RKhM-6 Povozka CBRN reconnaissance vehicle",0,0,1,10,11,"02/28/2024"
"191","Ukraine","11 River link pontoon (for unknown floating bridge system)",0,0,9,2,11,"02/28/2024"
"192","Ukraine","11 Su-30SM multirole aircraft",0,1,0,8,9,"02/28/2024"
"193","Ukraine","110 BTR-80",1,3,29,69,102,"02/28/2024"
"194","Ukraine","116 T-80BVM",3,15,34,71,123,"02/28/2024"
"195","Ukraine","1169 BMP-2(K)",91,104,227,725,1147,"02/28/2024"
"196","Ukraine","118 152mm 2A65 Msta-B howitzer",1,16,34,60,111,"02/28/2024"
"197","Ukraine","12 122mm D-30 howitzer",0,3,2,7,12,"02/28/2024"
"198","Ukraine","12 AT105A Saxon",0,0,8,4,12,"02/28/2024"
"199","Ukraine","12 BMD-1KSh-A command vehicle",0,0,4,8,12,"02/28/2024"
"200","Ukraine","12 K-53949 Linza",0,2,3,8,13,"02/28/2024"
"201","Ukraine","120mm 2S34 Khosta",0,0,2,1,3,"02/28/2024"
"202","Ukraine","120mm 2S9 Nona",0,0,0,5,5,"02/28/2024"
"203","Ukraine","120mm BTR-3M2",0,0,2,1,3,"02/28/2024"
"204","Ukraine","120mm Bars-8MMK",0,0,0,2,2,"02/28/2024"
"205","Ukraine","122 GAZ-66",3,5,28,83,119,"02/28/2024"
"206","Ukraine","122mm 2B26 Grad-K",0,1,0,4,5,"02/28/2024"
"207","Ukraine","122mm 2S1 Gvozdika",2,4,8,83,97,"02/28/2024"
"208","Ukraine","122mm 9P138 Grad-1",0,4,1,9,14,"02/28/2024"
"209","Ukraine","122mm BM-21 Grad",0,9,4,26,39,"02/28/2024"
"210","Ukraine","122mm D-30 howitzer",2,11,16,43,72,"02/28/2024"
"211","Ukraine","127 KamAZ 6x6 tanker",0,7,30,86,123,"02/28/2024"
"212","Ukraine","13 120mm 2B16 Nona-K gun mortar",2,2,8,2,14,"02/28/2024"
"213","Ukraine","13 2K22M1 Tunguska",3,2,1,7,13,"02/28/2024"
"214","Ukraine","13 BMP-1KSh command and staff vehicle",0,0,5,8,13,"02/28/2024"
"215","Ukraine","13 KrAZ-255 (for PMP floating bridge system)",0,2,2,9,13,"02/28/2024"
"216","Ukraine","14 82mm 2B9 Vasilek automatic gun mortar",0,1,6,8,15,"02/28/2024"
"217","Ukraine","14 KrAZ-255B",0,1,3,10,14,"02/28/2024"
"218","Ukraine","14 Ural-63704-0010 Tornado-U",1,2,5,6,14,"02/28/2024"
"219","Ukraine","15 T-72AV",0,1,4,11,16,"02/28/2024"
"220","Ukraine","15 T-80BV Obr. 2022",0,0,0,15,15,"02/28/2024"
"221","Ukraine","152mm 2A36 Giatsint-B field-gun",1,8,9,33,51,"02/28/2024"
"222","Ukraine","152mm 2A65 Msta-B howitzer",2,2,1,2,7,"02/28/2024"
"223","Ukraine","152mm 2S19 Msta-S",0,2,0,2,4,"02/28/2024"
"224","Ukraine","152mm 2S3 Akatsiya",0,8,4,28,40,"02/28/2024"
"225","Ukraine","152mm 2S3(M) Akatsiya",2,7,30,112,151,"02/28/2024"
"226","Ukraine","152mm 2S5 Giatsint-S",0,0,2,1,3,"02/28/2024"
"227","Ukraine","152mm D-20 gun-howitzer",0,7,3,25,35,"02/28/2024"
"228","Ukraine","154 Unknown BMP-1/2",13,7,0,127,147,"02/28/2024"
"229","Ukraine","155mm AHS Krab",0,5,0,23,28,"02/28/2024"
"230","Ukraine","155mm AS-90",0,3,0,4,7,"02/28/2024"
"231","Ukraine","155mm Caesar 8x8",0,0,0,1,1,"02/28/2024"
"232","Ukraine","155mm FH-70 howitzer",0,3,0,2,5,"02/28/2024"
"233","Ukraine","155mm M109A3/A4/A5/A6/L",0,16,0,38,54,"02/28/2024"
"234","Ukraine","155mm M777A2 howitzer",0,38,0,40,78,"02/28/2024"
"235","Ukraine","155mm TRF1 howitzer",0,0,0,1,1,"02/28/2024"
"236","Ukraine","16 PTS-2 tracked amphibious transport",4,1,4,8,17,"02/28/2024"
"237","Ukraine","160 GAZ Tigr-M",0,9,31,116,156,"02/28/2024"
"238","Ukraine","162 Ural-43206",3,9,34,111,157,"02/28/2024"
"239","Ukraine","17 'Orlan-20' ''Kartograf''",0,1,3,14,18,"02/28/2024"
"240","Ukraine","17 KamAZ-63501 (for PP-2005 floating bridge system)",0,0,5,12,17,"02/28/2024"
"241","Ukraine","17 Su-25 close air support aircraft",0,1,0,16,17,"02/28/2024"
"242","Ukraine","175 Ural-4320 tanker",1,3,64,98,166,"02/28/2024"
"243","Ukraine","18 Su-24M strike aircraft",0,0,0,18,18,"02/28/2024"
