"","country","system","damaged","captured","abandoned","destroyed","total","Date"
"161","Ukraine","10 122mm D-30 howitzer",3,2,0,5,10,"12/27/2023"
"162","Ukraine","10 RKhM-6 Povozka CBRN reconnaissance vehicle",0,1,0,9,10,"12/27/2023"
"163","Ukraine","10 Su-24M/MR strike/tactical reconnaissance aircraft",3,0,0,4,7,"12/27/2023"
"164","Ukraine","100mm BS-3 anti-tank gun",0,2,0,1,3,"12/27/2023"
"165","Ukraine","107 T-80BVM",12,34,2,65,113,"12/27/2023"
"166","Ukraine","108 BTR-80",3,30,1,66,100,"12/27/2023"
"167","Ukraine","108 GAZ-66",5,28,3,69,105,"12/27/2023"
"168","Ukraine","1087 BMP-2(K)",90,226,75,662,1053,"12/27/2023"
"169","Ukraine","11 FMTV M1083A1P2",1,0,1,9,11,"12/27/2023"
"170","Ukraine","11 MP-1IM signals vehicle",0,3,0,8,11,"12/27/2023"
"171","Ukraine","11 Su-30SM multirole aircraft",1,0,0,8,9,"12/27/2023"
"172","Ukraine","115 152mm 2A65 Msta-B howitzer",15,33,1,59,108,"12/27/2023"
"173","Ukraine","12 AT105A Saxon",0,8,0,4,12,"12/27/2023"
"174","Ukraine","12 BMD-1KSh-A command vehicle",0,4,0,8,12,"12/27/2023"
"175","Ukraine","12 PMP floating bridge",1,3,0,7,11,"12/27/2023"
"176","Ukraine","120mm 2S34 Khosta",0,2,0,1,3,"12/27/2023"
"177","Ukraine","120mm 2S9 Nona",0,0,0,4,4,"12/27/2023"
"178","Ukraine","120mm BTR-3M2",0,2,0,1,3,"12/27/2023"
"179","Ukraine","120mm Bars-8MMK",0,0,0,2,2,"12/27/2023"
"180","Ukraine","122mm 2B26 Grad-K",1,0,0,4,5,"12/27/2023"
"181","Ukraine","122mm 2S1 Gvozdika",4,8,2,74,88,"12/27/2023"
"182","Ukraine","122mm 9P138 Grad-1",4,1,0,8,13,"12/27/2023"
"183","Ukraine","122mm BM-21 Grad",8,4,0,26,38,"12/27/2023"
"184","Ukraine","122mm D-30 howitzer",10,16,2,41,69,"12/27/2023"
"185","Ukraine","129 KamAZ 6x6 tanker",7,30,1,88,126,"12/27/2023"
"186","Ukraine","13 120mm 2B16 Nona-K gun mortar",2,8,2,2,14,"12/27/2023"
"187","Ukraine","13 82mm 2B9 Vasilek automatic gun mortar",1,6,0,7,14,"12/27/2023"
"188","Ukraine","13 BMP-1KSh command and staff vehicle",0,5,0,8,13,"12/27/2023"
"189","Ukraine","13 T-72AV",1,4,0,9,14,"12/27/2023"
"190","Ukraine","133 Unknown BMP-1/2",5,0,6,112,123,"12/27/2023"
"191","Ukraine","14 2K22M1 Tunguska",2,1,3,8,14,"12/27/2023"
"192","Ukraine","14 K-53949 Linza",2,3,0,10,15,"12/27/2023"
"193","Ukraine","14 Ural-63704-0010 Tornado-U",2,5,1,6,14,"12/27/2023"
"194","Ukraine","152mm 2A36 Giatsint-B field-gun",8,9,1,32,50,"12/27/2023"
"195","Ukraine","152mm 2A65 Msta-B howitzer",1,1,2,2,6,"12/27/2023"
"196","Ukraine","152mm 2S19 Msta-S",2,0,0,2,4,"12/27/2023"
"197","Ukraine","152mm 2S3 Akatsiya",8,4,0,28,40,"12/27/2023"
"198","Ukraine","152mm 2S3(M) Akatsiya",7,30,2,110,149,"12/27/2023"
"199","Ukraine","152mm 2S5 Giatsint-S",0,2,0,1,3,"12/27/2023"
"200","Ukraine","152mm D-20 gun-howitzer",7,3,0,23,33,"12/27/2023"
"201","Ukraine","155mm AHS Krab",3,0,0,22,25,"12/27/2023"
"202","Ukraine","155mm AS-90",2,0,0,4,6,"12/27/2023"
"203","Ukraine","155mm Caesar 8x8",0,0,0,1,1,"12/27/2023"
"204","Ukraine","155mm FH-70 howitzer",3,0,0,2,5,"12/27/2023"
"205","Ukraine","155mm M109A3/A4/A5/A6/L",15,0,0,29,44,"12/27/2023"
"206","Ukraine","155mm M777A2 howitzer",37,0,0,38,75,"12/27/2023"
"207","Ukraine","155mm TRF1 howitzer",0,0,0,1,1,"12/27/2023"
"208","Ukraine","156 Ural-43206",8,34,3,106,151,"12/27/2023"
"209","Ukraine","159 GAZ Tigr-M",8,31,0,116,155,"12/27/2023"
"210","Ukraine","16 9A310M1-2 TELAR (for Buk-M1-2)",4,0,0,12,16,"12/27/2023"
"211","Ukraine","16 PTS-2 tracked amphibious transport",1,4,4,8,17,"12/27/2023"
"212","Ukraine","16 Su-25 close air support aircraft",1,0,0,15,16,"12/27/2023"
"213","Ukraine","16 Ural tanker",1,7,0,7,15,"12/27/2023"
"214","Ukraine","17 'Orlan-20' ''Kartograf''",1,3,0,14,18,"12/27/2023"
"215","Ukraine","17 KrAZ-255B",1,3,0,11,15,"12/27/2023"
"216","Ukraine","17 UAZ-39094",1,1,0,16,18,"12/27/2023"
"217","Ukraine","172 152mm 2S19 Msta-S",11,33,4,114,162,"12/27/2023"
"218","Ukraine","173 Ural-4320 tanker",3,63,1,96,163,"12/27/2023"
"219","Ukraine","18 23mm ZU-23-2",1,14,0,4,19,"12/27/2023"
"220","Ukraine","18 Su-24M strike aircraft",0,0,0,18,18,"12/27/2023"
"221","Ukraine","185 BMP-2(K)",9,23,11,137,180,"12/27/2023"
"222","Ukraine","189 BTR-80",7,55,7,121,190,"12/27/2023"
"223","Ukraine","19 122mm 2B17 Tornado-G",4,8,0,9,21,"12/27/2023"
"224","Ukraine","190 MT-LBVM and MT-LBVMK",4,92,8,86,190,"12/27/2023"
"225","Ukraine","195 122mm BM-21 Grad",18,33,3,120,174,"12/27/2023"
"226","Ukraine","1L219 (for Zoopark counter-battery radar complex)",1,0,0,1,2,"12/27/2023"
"227","Ukraine","1L22 'Parol': (1, destroyed)",1,1,0,2,4,"12/27/2023"
"228","Ukraine","1L261 (for 1L260 Zoopark-1M counter-battery radar complex)",2,2,0,5,9,"12/27/2023"
"229","Ukraine","1L262E Rtut-BM",0,0,0,1,1,"12/27/2023"
"230","Ukraine","1L271 Aistyonok portable mortar locating reconnaissance radar",0,1,0,2,3,"12/27/2023"
"231","Ukraine","1RL257 Krasukha-4 (command post)",0,1,0,0,1,"12/27/2023"
"232","Ukraine","1V119 artillery fire direction vehicle",0,8,0,3,11,"12/27/2023"
"233","Ukraine","1V13(M) battery fire control center",1,12,3,9,25,"12/27/2023"
"234","Ukraine","1V14 battery command and forward observer vehicle",0,1,0,6,7,"12/27/2023"
"235","Ukraine","1V15 battery command and forward observer vehicle",0,2,0,0,2,"12/27/2023"
"236","Ukraine","1V18 'Klyon-1' artillery command and forward observer vehicle",0,8,0,0,8,"12/27/2023"
"237","Ukraine","2 105mm L119 howitzer",2,0,0,0,2,"12/27/2023"
"238","Ukraine","2 120mm Alakran",0,0,0,2,2,"12/27/2023"
"239","Ukraine","2 120mm BRM-1K with 2S9 Nona turret",0,0,0,2,2,"12/27/2023"
"240","Ukraine","2 1V13 battery command and forward observer vehicle",0,0,0,2,2,"12/27/2023"
