"","system","country","origin","status","url","class","Date"
"40","BRDM-2",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/cLp0yYYV/795.png","Armoured Fighting Vehicles","02/27/2022"
"41","BRDM-2",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/KYF1K5KZ/5547.png","Armoured Fighting Vehicles","02/27/2022"
"42","BRDM-2",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/DZ1JmY6y/4436.png","Armoured Fighting Vehicles","02/27/2022"
"43","BRDM-2",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/zGQd8V3S/4437.png","Armoured Fighting Vehicles","02/27/2022"
"44","BRDM-2",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/TYfDBCPr/577.png","Armoured Fighting Vehicles","02/27/2022"
"45","BRDM-2",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/7Pg0LbtM/553.png","Armoured Fighting Vehicles","02/27/2022"
"46","BRDM-2",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/x1q26JWK/443o.png","Armoured Fighting Vehicles","02/27/2022"
"47","BREM-K armoured recovery vehicle",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/mkmwnq7g/760.png","Engineering Vehicles","02/27/2022"
"48","BRM-1K",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/ZnMyg04W/6669.jpg ","Armoured Fighting Vehicles","02/27/2022"
"49","BSEM-4K",NA,"Ukraine","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/5yjhTNPP/Screenshot-8306.png","Armoured Fighting Vehicles","02/27/2022"
"50","BTR-3",NA,"Ukraine","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/wv6zrZdn/Screenshot-8248.png ","Infantry Fighting Vehicles","02/27/2022"
"51","BTR-4",NA,"Ukraine","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/htB9C6SL/c2.png","Infantry Fighting Vehicles","02/27/2022"
"52","BTR-4",NA,"Ukraine","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/W42RL0Ld/5554.png","Infantry Fighting Vehicles","02/27/2022"
"53","BTR-4",NA,"Ukraine","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/tCP3NpHR/c1.png","Infantry Fighting Vehicles","02/27/2022"
"54","BTR-4",NA,"Ukraine","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/mkdGX6cb/447.png","Infantry Fighting Vehicles","02/27/2022"
"55","BTR-4",NA,"Ukraine","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/bYFbd2PW/6658.png","Infantry Fighting Vehicles","02/27/2022"
"56","BTR-4",NA,"Ukraine","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/LXydxZVY/Screenshot-8305.png","Infantry Fighting Vehicles","02/27/2022"
"57","BTR-70",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/9FS2wLRZ/Screenshot-8016.png","Armoured Personnel Carriers","02/27/2022"
"58","BTR-70",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/RCWcTD3F/579.png","Armoured Personnel Carriers","02/27/2022"
"59","BTR-80",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/cJCm25Z1/n2.png","Armoured Personnel Carriers","02/27/2022"
"60","BTR-80",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/nzTPBQHM/n1.png","Armoured Personnel Carriers","02/27/2022"
"61","BTR-80",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/Dwp3QN7Q/Screenshot-8275.png","Armoured Personnel Carriers","02/27/2022"
"62","BTR-82A",NA,"Russia","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/TYZ72Ps8/77690.png","Infantry Fighting Vehicles","02/27/2022"
"63","BTR-D",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/kgBKhrFT/884.png","Armoured Personnel Carriers","02/27/2022"
"64","BTR-D",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/J4crJP7d/46.png","Armoured Personnel Carriers","02/27/2022"
"65","BTR-D",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/bN80m24w/6688.png","Armoured Personnel Carriers","02/27/2022"
"66","Buk-M1",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/65Hjk0rQ/5542.png","Surface-To-Air Missile Systems","02/27/2022"
"67","GAZ Sobol",NA,"Russia","abandoned","https://web.archive.org/web/20220227175728/https://postimg.cc/87FbS5YH","Trucks, Vehicles, and Jeeps","02/27/2022"
