"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight"
"160",51.13759,23.55118,299.97,0.38,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.48,0.85,"N"
"161",52.35378,9.88683,311.55,0.35,0.57,2022-03-14,35,1,"VIIRS","n","2.0NRT",274.69,1.07,"N"
"162",50.9548,24.21996,308.74,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",262.03,0.78,"N"
"163",52.35498,9.88654,303.77,0.35,0.57,2022-03-14,35,1,"VIIRS","n","2.0NRT",273.5,0.89,"N"
"164",49.02768,38.39434,339.47,0.41,0.61,2022-03-14,35,1,"VIIRS","n","2.0NRT",265.2,3.93,"N"
"165",53.13891,8.67734,296.43,0.4,0.6,2022-03-14,35,1,"VIIRS","n","2.0NRT",266.51,0.89,"N"
"166",52.39997,12.49367,303.91,0.55,0.51,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.06,1.77,"N"
"167",53.13333,8.67693,313.13,0.4,0.6,2022-03-14,35,1,"VIIRS","n","2.0NRT",266.21,1.19,"N"
"168",49.0226,38.39072,322.69,0.41,0.61,2022-03-14,35,1,"VIIRS","n","2.0NRT",261.95,3.93,"N"
"169",52.00605,24.87982,296.62,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",265.48,1.15,"N"
"170",52.00282,24.87841,315.94,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",267.16,1.15,"N"
"171",52.58234,19.6666,302.61,0.45,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.29,1.78,"N"
"172",53.52159,9.90358,326.82,0.36,0.57,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.27,1.75,"N"
"173",53.51242,10.0344,304.28,0.35,0.57,2022-03-14,35,1,"VIIRS","n","2.0NRT",274.7,1.21,"N"
"174",54.43487,21.47336,328.76,0.42,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.34,2.5,"N"
"175",52.84853,29.99196,325.52,0.47,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",269.6,3.74,"N"
"176",53.27056,24.44144,306.07,0.38,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",269.35,1.31,"N"
"177",54.54067,21.64167,320.42,0.42,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",266.77,1.65,"N"
"178",54.52705,20.83177,308.65,0.44,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",265.72,0.73,"N"
"179",54.55186,20.55755,296.51,0.45,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",267.34,0.74,"N"
"180",54.39494,22.28243,313.19,0.41,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",267.11,1.58,"N"
"181",54.48745,21.30901,299.81,0.43,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.12,0.57,"N"
"182",39.86686,26.24366,304.01,0.41,0.45,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.19,1,"N"
"183",42.56711,12.67017,297.85,0.43,0.46,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.01,1.16,"N"
"184",36.71832,36.19835,308.77,0.79,0.78,2022-03-14,35,1,"VIIRS","n","2.0NRT",276.42,2.89,"N"
"185",34.29686,11.40605,296.61,0.4,0.44,2022-03-14,37,1,"VIIRS","n","2.0NRT",281.97,0.43,"N"
"186",34.29732,11.40173,300.05,0.4,0.44,2022-03-14,37,1,"VIIRS","n","2.0NRT",280.54,0.43,"N"
